,date,time,latitude,longitude,deepness,md,ml,mw,place
5,Tarih     ,Saat    ,Enlem(N),Boylam(,lik(,MD ,Mw ,ML ,Yer                                             Ç
6,----------,--------,--------,-------,----,---,-- ,---,--------------                                  -
184,2023.03.30,20:19:38,37.7577 ,36.5988,2.7 ,-.-,-.-,1.5,AKGUMUS-ANDIRIN (KAHRAMANMARAS)
185,2023.03.30,20:16:17,39.2573 ,36.5182,5.0 ,-.-,-.-,2.9,KISLAKOY-SARKISLA (SIVAS)
186,2023.03.30,20:13:27,38.0222 ,37.4937,5.6 ,-.-,-.-,1.9,TATLAR-NURHAK (KAHRAMANMARAS)
187,2023.03.30,20:06:24,37.7692 ,36.4238,1.5 ,-.-,-.-,1.4,GEBEN-ANDIRIN (KAHRAMANMARAS)
188,2023.03.30,20:01:59,37.4620 ,37.1653,9.2 ,-.-,-.-,1.7,DOGANLIKARAHASAN-PAZARCIK (KAHRAMANMARAS)
189,2023.03.30,20:00:58,38.1540 ,37.8593,5.0 ,-.-,-.-,2.6,POLAT-DOGANSEHIR (MALATYA)
190,2023.03.30,19:55:00,37.9665 ,36.6677,5.5 ,-.-,-.-,1.6,KIZILOZ-GOKSUN (KAHRAMANMARAS)
191,2023.03.30,19:49:27,36.1870 ,35.8835,5.1 ,-.-,-.-,1.9,CAMLIYAYLA-SAMANDAG (HATAY)
192,2023.03.30,19:45:29,37.8317 ,37.8792,5.4 ,-.-,-.-,1.5,MERYEMUSAGI-TUT (ADIYAMAN)
193,2023.03.30,19:34:21,37.8583 ,36.3803,7.5 ,-.-,-.-,1.4,KUCUKCAMURLU-GOKSUN (KAHRAMANMARAS)
194,2023.03.30,19:24:46,37.9325 ,36.3215,4.7 ,-.-,-.-,1.3,HACIKODAL-GOKSUN (KAHRAMANMARAS)
195,2023.03.30,19:15:49,38.1220 ,38.5125,5.6 ,-.-,-.-,1.9,GECITLI-SINCIK (ADIYAMAN)
196,2023.03.30,19:13:03,38.0842 ,38.3460,3.0 ,-.-,-.-,2.1,TASDAMLAR-CELIKHAN (ADIYAMAN)
